"Theta_x","Theta_y","Estimated Theta_x","Estimated Theta_y"
24.544,-89.0438481,25.014,64.81111236,
24.571,-89.46439072,25.054,64.87790593,
24.594,-89.92313082,25.064,64.87790593,
24.611,-90.02798204,25.121,64.87790593,
24.681,-90.86424851,25.151,65.03604137,
24.714,-92.19479579,25.181,65.03604137,
24.754,-92.69301928,25.214,64.98167891,
24.784,-93.12457988,25.254,64.98167891,
24.811,-93.85227096,25.294,64.98167891,
24.851,-94.38590552,25.311,65.29496239,
24.874,-94.78103705,25.344,65.29496239,
24.901,-95.41903552,25.381,65.37101487,
24.964,-96.18453176,25.384,65.37101487,
24.981,-96.57589652,25.444,65.37101487,
25.014,-96.88766274,25.451,65.73403036,
25.054,-97.84352344,25.521,65.73824843,
25.064,-98.1301404,25.544,65.16579553,
25.121,-98.50162591,25.591,65.16579553,
25.151,-99.17780733,25.624,64.91038226,
25.181,-99.92977528,25.634,64.91038226,
25.214,-100.4186422,25.694,65.48101151,
25.254,-100.738425,25.711,66.56905419,
25.294,-101.392467,25.734,66.56905419,
25.311,-102.2153511,25.784,66.56905419,
25.344,-102.5063651,25.814,66.67514602,
25.381,-103.3434569,25.854,66.62238459,
25.384,-103.3434569,25.871,67.14571159,
25.444,-103.8815581,25.904,67.14571159,
25.451,-104.0267401,25.941,68.0318155,
25.521,-105.5668423,25.981,68.0318155,
25.544,-106.0293677,26.021,67.79716537,
25.591,-106.1993114,26.041,67.79716537,
25.624,-106.9065723,26.084,68.17881393,
25.634,-107.523317,26.111,68.17881393,
25.694,-108.127233,26.131,67.92645715,
25.711,-108.5647337,26.191,68.12915592,
25.734,-108.7545404,26.214,68.12915592,
25.784,-109.6345576,26.254,68.12915592,
25.814,-110.3536094,26.274,68.15241483,
25.854,-110.9246247,26.301,68.15241483,
25.871,-111.2904577,26.361,68.12608731,
25.904,-111.7080628,26.381,68.12608731,
25.941,-112.1817123,26.421,68.12608731,
25.981,-112.8966552,26.464,68.58966121,
